fiche_id,url,nom_complet,naissance_date,naissance_commune,naissance_dept,deces_date,deces_commune,deces_dept,regime,legislature,mandat_debut,mandat_fin,departement,circonscription,groupe,groupe_abrev,est_gaulliste,suppleant_de,a_eu_suppleant
3830,https://www2.assemblee-nationale.fr/sycomore/fiche/3830,Maurice Herzog,15 janvier 1919,Lyon,Rhône,13 décembre 2012,Neuilly-sur-seine,Hauts,Cinquième République - Assemblée nationale,Ve législature,2 avril 1973,2 avril 1978,Haute-Savoie,,Union des démocrates pour la République,UDR,TRUE,,
3831,https://www2.assemblee-nationale.fr/sycomore/fiche/3831,"Claude, André, Charles, Antoine Hettier de Boislambert",26 juillet 1906,Hérouvilette,Manche,22 novembre 1986,Paris,Paris,Quatrième République - Assemblée nationale,IIe législature,17 juin 1951,1 décembre 1955,Manche,,Rassemblement du peuple français,RPF,TRUE,,
3843,https://www2.assemblee-nationale.fr/sycomore/fiche/3843,Etienne Hinsberger,27 décembre 1920,Saint-louis-lès-bitche,Moselle,28 mai 2008,Sarreguemines,Moselle,Cinquième République - Assemblée nationale,IIe législature,18 novembre 1962,2 avril 1967,Moselle,,Union pour la nouvelle République-UDT,UNR-UDT,TRUE,,
3843,https://www2.assemblee-nationale.fr/sycomore/fiche/3843,Etienne Hinsberger,27 décembre 1920,Saint-louis-lès-bitche,Moselle,28 mai 2008,Sarreguemines,Moselle,Cinquième République - Assemblée nationale,IIIe législature,5 mars 1967,30 mai 1968,Moselle,,Union démocratique pour la V° République,UD-Ve,TRUE,,
3843,https://www2.assemblee-nationale.fr/sycomore/fiche/3843,Etienne Hinsberger,27 décembre 1920,Saint-louis-lès-bitche,Moselle,28 mai 2008,Sarreguemines,Moselle,Cinquième République - Assemblée nationale,IVe législature,23 juin 1968,1 avril 1973,Moselle,,Union des démocrates pour la République,UDR,TRUE,,
3847,https://www2.assemblee-nationale.fr/sycomore/fiche/3847,Marcel Hoffer,13 juillet 1916,Thaon-les-vosges,Vosges,24 juillet 1979,Epinal,Vosges,Cinquième République - Assemblée nationale,IIe législature,25 novembre 1962,2 avril 1967,Vosges,,Union pour la nouvelle République-UDT,UNR-UDT,TRUE,,
3847,https://www2.assemblee-nationale.fr/sycomore/fiche/3847,Marcel Hoffer,13 juillet 1916,Thaon-les-vosges,Vosges,24 juillet 1979,Epinal,Vosges,Cinquième République - Assemblée nationale,IIIe législature,12 mars 1967,30 mai 1968,Vosges,,Union démocratique pour la V° République,UD-Ve,TRUE,,
3847,https://www2.assemblee-nationale.fr/sycomore/fiche/3847,Marcel Hoffer,13 juillet 1916,Thaon-les-vosges,Vosges,24 juillet 1979,Epinal,Vosges,Cinquième République - Assemblée nationale,IVe législature,23 juin 1968,1 avril 1973,Vosges,,Union des démocrates pour la République,UDR,TRUE,,
3847,https://www2.assemblee-nationale.fr/sycomore/fiche/3847,Marcel Hoffer,13 juillet 1916,Thaon-les-vosges,Vosges,24 juillet 1979,Epinal,Vosges,Cinquième République - Assemblée nationale,Ve législature,2 avril 1973,2 avril 1978,Vosges,,Union des démocrates pour la République,UDR,TRUE,,
3849,https://www2.assemblee-nationale.fr/sycomore/fiche/3849,Michel Hoguet,11 février 1910,Amiens,Somme,19 février 1997,Nogent-le-rotrou,Eure,Cinquième République - Assemblée nationale,Ire législature,30 novembre 1958,9 octobre 1962,Eure-et-Loir,,Union pour la nouvelle République,UNR,TRUE,,
3849,https://www2.assemblee-nationale.fr/sycomore/fiche/3849,Michel Hoguet,11 février 1910,Amiens,Somme,19 février 1997,Nogent-le-rotrou,Eure,Cinquième République - Assemblée nationale,IIe législature,25 novembre 1962,2 avril 1967,Eure-et-Loir,,Union pour la nouvelle République-UDT,UNR-UDT,TRUE,,
3849,https://www2.assemblee-nationale.fr/sycomore/fiche/3849,Michel Hoguet,11 février 1910,Amiens,Somme,19 février 1997,Nogent-le-rotrou,Eure,Cinquième République - Assemblée nationale,IIIe législature,12 mars 1967,30 mai 1968,Eure-et-Loir,,Union démocratique pour la V° République,UD-Ve,TRUE,,
3849,https://www2.assemblee-nationale.fr/sycomore/fiche/3849,Michel Hoguet,11 février 1910,Amiens,Somme,19 février 1997,Nogent-le-rotrou,Eure,Cinquième République - Assemblée nationale,IVe législature,23 juin 1968,1 avril 1973,Eure-et-Loir,,Union des démocrates pour la République,UDR,TRUE,,
3864,https://www2.assemblee-nationale.fr/sycomore/fiche/3864,René Hostache,27 juillet 1925,Aix-en-provence,Bouches,9 juin 2000,Aix-en-provence,Bouches,Cinquième République - Assemblée nationale,Ire législature,30 novembre 1958,9 octobre 1962,Bouches-du-Rhône,,Union pour la nouvelle République,UNR,TRUE,,
3868,https://www2.assemblee-nationale.fr/sycomore/fiche/3868,Jules Houcke,20 mai 1898,Nieppe,Nord,12 mars 1968,Nieppe,Nord,Gouvernement provisoire de la République française,Ire Assemblée nationale constituante,21 octobre 1945,10 juin 1946,Nord,,Républicains indépendants,,FALSE,,
3868,https://www2.assemblee-nationale.fr/sycomore/fiche/3868,Jules Houcke,20 mai 1898,Nieppe,Nord,12 mars 1968,Nieppe,Nord,Cinquième République - Assemblée nationale,IIe législature,18 novembre 1962,2 avril 1967,Nord,,Union pour la nouvelle République-UDT,UNR-UDT,TRUE,,
3889,https://www2.assemblee-nationale.fr/sycomore/fiche/3889,"Robert, Henri Huel",23 avril 1907,Baccarat,Meurthe,6 septembre 1992,Nice,Alpes,Quatrième République - Assemblée nationale,IIe législature,17 juin 1951,1 décembre 1955,Haute-Marne,,Rassemblement du peuple français - ARS,RPF,TRUE,,
3889,https://www2.assemblee-nationale.fr/sycomore/fiche/3889,"Robert, Henri Huel",23 avril 1907,Baccarat,Meurthe,6 septembre 1992,Nice,Alpes,Quatrième République - Assemblée nationale,IIIe législature,2 janvier 1956,8 décembre 1958,Haute-Marne,,Indépendants et paysans d'action sociale,,FALSE,,
