elite_id,source_system,source_record_id,career_source_row,position,regime,legislature,mandat_debut,mandat_fin,departement,circonscription,groupe,groupe_abrev,is_gaulliste,status,suppleant_de,a_eu_suppleant,source_url
FR_ELITE_000977,SYCOMORE,3971,1,Député,Troisième République - Chambre des députés,XVe législature,1932-05-01,1936-05-31,Meuse,,Députés du centre républicain,,FALSE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/3971
FR_ELITE_000977,SYCOMORE,3971,2,Député,Troisième République - Chambre des députés,XVIe législature,1936-04-26,1942-05-31,Meuse,,Alliance des républicains de gauche et des radicaux indépendants,,FALSE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/3971
FR_ELITE_000977,SYCOMORE,3971,3,Député,Gouvernement provisoire de la République française,Ire Assemblée nationale constituante,1945-10-21,1946-06-10,Meuse,,Parti républicain de la liberté,,FALSE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/3971
FR_ELITE_000977,SYCOMORE,3971,4,Député,Gouvernement provisoire de la République française,2e Assemblée nationale constituante,1946-06-02,1946-11-27,Meuse,,Républicains indépendants,,FALSE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/3971
FR_ELITE_000977,SYCOMORE,3971,5,Député,Quatrième République - Assemblée nationale,Ire législature,1946-11-10,1951-07-04,Meuse,,Républicains indépendants,,FALSE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/3971
FR_ELITE_000977,SYCOMORE,3971,6,Député,Quatrième République - Assemblée nationale,IIe législature,1951-06-17,1955-12-01,Meuse,,Républicains indépendants,,FALSE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/3971
FR_ELITE_000977,SYCOMORE,3971,7,Député,Quatrième République - Assemblée nationale,IIIe législature,1956-01-02,1958-12-08,Meuse,,Indépendants et paysans d'action sociale,,FALSE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/3971
FR_ELITE_000977,SYCOMORE,3971,8,Député,Cinquième République - Assemblée nationale,Ire législature,1958-11-23,1959-02-08,Meuse,,Indépendants et paysans d'action sociale,,FALSE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/3971
FR_ELITE_000977,SYCOMORE,3971,9,Député,Cinquième République - Assemblée nationale,IIe législature,1962-11-18,1963-01-07,Meuse,,Union pour la nouvelle République-UDT,UNR-UDT,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/3971
FR_ELITE_000977,SYCOMORE,3971,10,Député,Cinquième République - Assemblée nationale,IIIe législature,1967-03-12,1968-05-30,Meuse,,Union démocratique pour la V° République,UD-Ve,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/3971
FR_ELITE_000977,SYCOMORE,3971,11,Député,Cinquième République - Assemblée nationale,IVe législature,1968-06-23,1973-04-01,Meuse,,Union des démocrates pour la République,UDR,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/3971
FR_ELITE_000980,SYCOMORE,3186,1,Député,Cinquième République - Assemblée nationale,IVe législature,1973-02-05,1973-04-01,Aveyron,,Union des démocrates pour la République,UDR,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/3186
FR_ELITE_000980,SYCOMORE,3186,2,Député,Cinquième République - Assemblée nationale,Ve législature,1973-04-02,1976-10-28,Aveyron,,Union des démocrates pour la République,UDR,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/3186
FR_ELITE_000983,SYCOMORE,517,1,Député,Quatrième République - Assemblée nationale,Ire législature,1946-11-10,1951-07-04,Gabon-Moyen-Congo,,Union démocratique et socialiste de la Résistance,,FALSE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/517
FR_ELITE_000983,SYCOMORE,517,2,Député,Quatrième République - Assemblée nationale,IIe législature,1951-06-17,1955-12-01,Gabon-Moyen-Congo,,Rassemblement du peuple français,RPF,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/517
FR_ELITE_000983,SYCOMORE,517,3,Député,Quatrième République - Assemblée nationale,IIIe législature,1956-01-02,1958-12-08,Gabon-Moyen-Congo,,Républicains sociaux,RS,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/517
FR_ELITE_000983,SYCOMORE,517,4,Député,Cinquième République - Assemblée nationale,Ire législature,1958-12-09,1959-04-26,Gabon-Moyen-Congo,,,,FALSE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/517
FR_ELITE_000985,SYCOMORE,5534,1,Député,Cinquième République - Assemblée nationale,Ire législature,1958-11-30,1962-10-09,Loire,,Union pour la nouvelle République,UNR,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/5534
